ID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Used
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,178
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,66
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False,133
309,Electrike,Electric,,295,40,45,40,65,40,65,3,False,61
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False,173
310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False,17
311,Plusle,Electric,,405,60,50,40,85,75,95,3,False,6
312,Minun,Electric,,405,60,40,50,75,85,95,3,False,88
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False,21
314,Illumise,Bug,,400,65,47,55,73,75,85,3,False,69
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,68
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False,86
317,Swalot,Poison,,467,100,73,83,73,83,55,3,False,149
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,180
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,146
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,138
320,Wailmer,Water,,400,130,70,35,70,35,60,3,False,58
321,Wailord,Water,,500,170,90,45,90,45,60,3,False,128
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,73
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,117
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False,131
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False,21
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False,66
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False,5
327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,169
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,29
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,43
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,154
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False,150
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,5
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,115
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,103
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False,167
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,42
336,Seviper,Poison,,458,73,100,60,100,60,65,3,False,148
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,194
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,62
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,156
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,73
341,Corphish,Water,,308,43,80,65,50,35,35,3,False,128
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,156
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,43
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,123
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,57
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,69
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,176
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,144
349,Feebas,Water,,200,20,15,20,10,55,80,3,False,148
350,Milotic,Water,,540,95,60,79,100,125,81,3,False,62
351,Castform,Normal,,420,70,70,70,70,70,70,3,False,64
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,86
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,False,30
354,Banette,Ghost,,455,64,115,65,83,63,65,3,False,77
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False,109
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False,142
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,False,43
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,150
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,False,43
359,Absol,Dark,,465,65,130,60,75,60,75,3,False,38
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False,155
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False,16
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,False,34
362,Glalie,Ice,,480,80,80,80,80,80,80,3,False,24
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False,113
